url,username,service_name,rating,reviews_count,starting_price,category,accepts,last_updated
https://vgen.co/-fei/service/pwyw-colored-sketchpage/a4a66e50-caac-4cd9-87d9-d1be10a03016,@-fei,PWYW Colored Sketchpage,5.0,56,45.0,Sketchpages,Open communication; WIP updates; Revisions available; Custom proposal; Commercial use; NSFW,
https://vgen.co/-fei/service/pwyw-mpen-doodles/985d8c8d-71d3-445f-ba76-1c532413c0ce,@-fei,PWYW MPen Doodles,5.0,36,5.0,Sillies,WIP updates; Custom proposal; Commercial use; NSFW,
https://vgen.co/00chovo/service/bst-up-commissions-illustration-/977f7c42-fe7d-4734-ba31-e42778d015cf,@00chovo,BST Up Commissions (illustration),5.0,53,15.0,Other,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Commercial use,"Last updated Apr 4, 2026"
https://vgen.co/00chovo/service/chibi-commission-illustration-/7a4206c1-ac53-4628-b2b5-c2fce5b98434,@00chovo,Chibi Commission (illustration),4.9,54,13.0,Other,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Commercial use,"Last updated Apr 4, 2026"
https://vgen.co/00chovo/service/chibi-custom-commission-illustration-/3aea9992-134a-4067-a5f1-95ab359cd34c,@00chovo,CHIBI Custom Commission (illustration),5.0,36,20.0,CUSTOM COMMISSION,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Commercial use,"Last updated Apr 4, 2026"
https://vgen.co/00chovo/service/gif-commission-animation-/235354ff-8e79-469d-a58b-e38a81ef1bf5,@00chovo,GIF Commission (animation),5.0,48,20.0,Other,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Commercial use,"Last updated Apr 4, 2026"
https://vgen.co/00chovo/service/half-commission-illustration-/8b68b24a-b66c-4636-bf8a-d1237f74a596,@00chovo,Half Commission (illustration),5.0,31,25.0,Other,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Commercial use,"Last updated Apr 4, 2026"
https://vgen.co/00chyaa/service/chuu-/0e4e1c8a-3564-48ff-a40d-5243e789a00f,@00chyaa,Chuu❣,5.0,87,37.5,YCH GIF,WIP updates; Personalized; Made from template,"Last updated Mar 21, 2026"
https://vgen.co/00v_k/service/k-s-commissions/7b39bb70-dd22-44d9-9975-2618b661ddc0,@00v_k,k's commissions,5.0,42,20.0,Other,Open communication; WIP updates; Revisions available; Custom proposal,"Last updated Jan 7, 2026"
https://vgen.co/05realtime/service/-surprise-me-sketch-type/4ba39c83-8842-4605-b624-37c560f8b7d4,@05realtime,[Surprise Me] Sketch type,5.0,74,18.0,Surprise Me / Skeb like,WIP updates; Commercial use; NSFW,"Last updated Feb 26, 2026"
https://vgen.co/08cchi/service/-mystery-skeb-pokemon-style-icon/c6eec78b-a8e3-4175-8145-dedaa93d194c,@08cchi,(Mystery/skeb) Pokemon style icon,5.0,33,30.0,Pokemon Style,Open communication; WIP updates; Revisions available; Custom proposal; NSFW,
https://vgen.co/08cchi/service/pokemon-style-fullbody/5c6ee824-c221-4826-90fd-d3446e4610aa,@08cchi,Pokemon style Fullbody,5.0,48,50.0,Pokemon Style,Open communication; WIP updates; Revisions available; Custom proposal; NSFW,
https://vgen.co/08cchi/service/pokemon-style-team-/669b3440-0c43-4c03-a422-e57784274d04,@08cchi,Pokemon style Team,5.0,37,70.0,Pokemon Style,Open communication; WIP updates; Revisions available; Custom proposal; NSFW,
https://vgen.co/08cchi/service/skeb-mystery-pokemon-battle-intro-screens/c0849b7d-15b4-4455-bd10-2f5082802af0,@08cchi,SKEB/Mystery Pokemon Battle Intro Screens,5.0,49,40.0,Pokemon Style,Open communication; WIP updates; Revisions available; Custom proposal; NSFW,
https://vgen.co/0uter/service/full-size-mix/3a725e3d-b969-4e9a-b453-e970f35af76c,@0uter,FULL SIZE MIX,5.0,62,36.0,Mixing & Mastering,Open communication; WIP updates; Revisions available; Custom proposal,
https://vgen.co/0x4682B4/service/-type-h2-ych-live2d-model-art-rig/2d9ea6fe-35d9-46f9-a080-d68c62f019b9,@0x4682B4,[Type-H2] YCH Live2D Model Art+Rig,5.0,37,500.0,[GlycoProduction] Type-H2 YCH Template,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Made from template; NSFW,"Last updated Mar 28, 2026"
https://vgen.co/13wmel/service/mini-pea-ych-/ace34304-47c7-4de7-935b-bfbe189b1599,@13wmel,Mini Pea (YCH),5.0,61,6.99,Other,WIP updates; Custom proposal; Personalized; Made from template; Commercial use,"Last updated Apr 13, 2026"
https://vgen.co/15cha_hira/service/illustration-dark-style/a2dafb08-d5ef-4b7f-80d4-c9cb4c38a6b3,@15cha_hira,Illustration - Dark style,5.0,90,50.0,Illustration,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Commercial use; NSFW,
https://vgen.co/15cha_hira/service/illustration-rendered/e244f4f0-73a0-4cf8-a4dd-fb3c8ad5f738,@15cha_hira,Illustration - Rendered,5.0,61,70.0,Illustration,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Commercial use; NSFW,
https://vgen.co/15cha_hira/service/surprise-me-doodle-style/450f0e34-a35c-49ca-a5ea-de9209b6be91,@15cha_hira,Surprise me Doodle style,5.0,50,16.0,Illustration,WIP updates; Custom proposal; Personalized; Commercial use; NSFW,
https://vgen.co/15death/service/manga-style/23623824-6ab5-44a4-bbe4-9eb392420f59,@15death,Manga Style,5.0,33,80.0,Manga Style,Open communication; WIP updates; Revisions available; Custom proposal; Personalized; Commercial use; NSFW,"Last updated Mar 20, 2026"
https://vgen.co/1717/service/very-scuffed-doodle/a973132f-e611-4362-ae0f-f3a14e83b64f,@1717,Very Scuffed Doodle,5.0,67,7.25,Special Banner,WIP updates; Custom proposal; Personalized; NSFW,"Last updated Mar 31, 2026"
https://vgen.co/1DriedPersimmon/service/bugs/502d6fc4-a763-499c-8a00-c07b06184e70,@1DriedPersimmon,Bugs,5.0,38,3.0,Other,WIP updates,"Last updated Apr 8, 2026"
https://vgen.co/1DriedPersimmon/service/sketch-comm-character-only/496540b2-64b6-40a9-ace1-381a80330bae,@1DriedPersimmon,Sketch Comm - Character only,5.0,64,60.0,Other,Open communication; WIP updates; Revisions available; Custom proposal,"Last updated Apr 8, 2026"
https://vgen.co/23drnn/service/sketch-color-surprise-me-/bea7f5f8-7a9c-451c-bddf-aaf921705051,@23drnn,Sketch Color (Surprise Me),5.0,46,40.0,Surprise Me Menus,WIP updates; Custom proposal; Commercial use; NSFW,"Last updated Mar 26, 2026"
https://vgen.co/2D2ART/service/pay-what-ever-you-want/a7525093-0761-4b12-ac12-57e06eca471d,@2D2ART,PAY WHAT EVER YOU WANT,5.0,78,1.0,2D STUFF,WIP updates,"Last updated Feb 26, 2026"
https://vgen.co/318_Saiha/service/bust-up/3f11a6d7-adb3-413d-aa5e-2d3984560f6d,@318_Saiha,Bust Up,5.0,35,50.0,Cel Shaded Illustration,Open communication; WIP updates; Revisions available; Custom proposal; Commercial use; NSFW,"Last updated Apr 17, 2026"
https://vgen.co/42NEDIA/service/surprise-me-/62bb76e3-d683-40ed-b5a7-9f55709cbab3,@42NEDIA,Surprise me!,5.0,36,45.0,skeb,Open communication; WIP updates; Custom proposal; Commercial use,"Last updated Mar 8, 2026"
https://vgen.co/506mnse_/service/surprise-me-scrunkly-chibi/b19238ce-9c2a-4b95-a05f-7cd262e3f80f,@506mnse_,Surprise Me! Scrunkly Chibi,5.0,30,25.0,Surprise Me / Omakase,WIP updates; Custom proposal; Personalized; NSFW,"Last updated Apr 5, 2026"
